Id,Score,ViewCount,AnswerCount,FavoriteCount,Tags,CreationDate
"88344","1","14","0","","<machine-learning><computer-vision>","2021-01-22 16:03:47"
"88346","4","109","1","1","<python><pandas><class-imbalance><missing-data><smote>","2021-01-22 16:08:43"
"88348","1","214","1","","<machine-learning><classification><svm><bert>","2021-01-22 16:17:48"
"88350","1","49","0","","<pca><normalization><orange><data-analysis>","2021-01-22 17:51:19"
"88353","2","208","1","","<multiclass-classification><matlab><confusion-matrix>","2021-01-22 21:24:44"
"88354","0","22","0","","<keras><tensorflow><convolution><image-segmentation>","2021-01-22 22:19:26"
"88356","1","11","0","","<regression><machine-learning-model><categorical-data>","2021-01-23 01:02:24"
"88357","1","28","1","","<machine-learning><tensorflow><cnn><matplotlib>","2021-01-23 01:56:00"
"88360","1","20","0","","<machine-learning><classification><statistics>","2021-01-23 04:00:26"
"88363","1","22","0","","<python><scikit-learn><r><hyperparameter>","2021-01-23 06:47:31"
"88364","1","37","0","","<nlp><pytorch>","2021-01-23 07:17:57"
"88365","3","305","1","","<machine-learning><deep-learning><time-series><arima>","2021-01-23 09:35:20"
"88371","1","91","1","","<computer-vision>","2021-01-23 14:12:24"
"88372","1","30","0","","<cnn><gan>","2021-01-23 14:19:55"
"88373","1","21","0","","<random-forest><prediction><survival-analysis>","2021-01-23 15:21:49"
"88375","0","24","0","","<visualization><data-science-model>","2021-01-23 15:45:42"
"88377","1","20","0","","<machine-learning><data-cleaning><data-science-model><data-analysis><missing-data>","2021-01-23 16:25:28"
"88378","1","23","0","","<scikit-learn><pandas><one-hot-encoding>","2021-01-23 16:35:41"
"88382","1","22","0","","<python><neural-network><image-classification><domain-adaptation>","2021-01-23 17:45:49"
"88383","0","7","0","","<preprocessing><encoding>","2021-01-23 17:53:38"
"88385","0","38","1","","<machine-learning><random-forest><cross-validation>","2021-01-23 18:22:27"
"88386","2","15","1","","<time-series><dataset><data-cleaning><convolutional-neural-network>","2021-01-23 19:34:58"
"88387","0","29","0","","<data-mining><poisson>","2021-01-23 19:40:19"
"88391","1","21","0","1","<classification>","2021-01-23 22:22:12"
"88392","1","19","1","","<keras><numpy><mlp>","2021-01-23 22:34:03"
"88393","2","68","2","","<nlp><text-mining><transformer><speech-to-text>","2021-01-24 01:12:46"
"88394","0","12","0","","<rstudio>","2021-01-24 02:13:12"
"88395","0","54","1","","<computer-vision><pytorch><object-detection>","2021-01-24 03:58:15"
"88400","1","32","0","","<preprocessing><feature-construction><pipelines>","2021-01-24 10:42:19"
"88401","3","140","1","","<image-preprocessing>","2021-01-24 11:57:07"
"88402","2","91","0","1","<machine-learning><predictive-modeling><statistics><machine-learning-model><data-science-model>","2021-01-24 12:09:32"
"88403","1","36","0","","<machine-learning><classification><multiclass-classification><multilabel-classification>","2021-01-24 12:41:28"
"88405","0","35","1","","<data><data-cleaning><forecasting>","2021-01-24 14:37:03"
"88408","1","160","1","","<linear-regression><pca><dimensionality-reduction><linear-algebra>","2021-01-24 17:12:34"
"88410","0","1753","2","","<keras><tensorflow><image-classification><python-3.x>","2021-01-24 18:23:07"
"88415","0","12","0","","<keras><word-embeddings><embeddings>","2021-01-24 19:34:21"
"88417","1","58","1","","<nlp><bert><language-model>","2021-01-24 20:03:49"
"88418","0","11","0","","<deep-learning><training><embeddings><pretraining>","2021-01-24 20:13:03"
"88419","1","91","0","","<text-mining><word-embeddings><nlp>","2021-01-24 20:28:36"
"88420","0","70","0","","<machine-learning><python><random-forest><gbm>","2021-01-24 21:05:16"
"88421","1","38","0","1","<nlp>","2021-01-24 21:06:51"
"88422","0","12","0","","<python><policy-gradients>","2021-01-24 21:08:19"
"88427","3","318","2","","<data><data-cleaning><visualization><missing-data>","2021-01-24 21:55:32"
"88430","1","37","0","","<machine-learning><cross-validation><code>","2021-01-25 00:19:57"
"88431","1","11","0","","<machine-learning><neural-network><probability><ensemble-learning><softmax>","2021-01-25 02:57:02"
"88436","1","81","1","","<rnn>","2021-01-25 07:49:55"
"88437","1","49","0","2","<machine-learning><overfitting><data-leakage>","2021-01-25 08:46:51"
"88440","2","52","0","","<machine-learning><clustering><bigdata><apache-spark><scalability>","2021-01-25 09:44:08"
"88441","2","57","1","","<python><time-series><data-science-model><boosting>","2021-01-25 09:57:35"
"88446","1","27","0","","<normalization><distribution><logarithmic>","2021-01-25 12:16:50"
"88447","1","39","1","","<machine-learning><statistics><machine-learning-model><class-imbalance><metric>","2021-01-25 13:07:29"
"88450","1","33","0","","<machine-learning><neural-network><implementation>","2021-01-25 13:48:55"
"88454","1","41","1","","<machine-learning><gpu><cloud-computing>","2021-01-25 15:33:55"
"88458","3","35","1","","<machine-learning><reference-request>","2021-01-25 16:09:53"
"88459","1","24","0","","<machine-learning><data-cleaning><feature-engineering><encoding>","2021-01-25 16:26:49"
"88468","1","39","0","1","<keras><wasserstein><cyclegan>","2021-01-25 19:37:25"
"88472","2","27","0","1","<machine-learning><classification><mathematics><linear-algebra>","2021-01-25 20:33:33"
"88480","0","321","0","","<python><keras><tensorflow>","2021-01-26 03:23:53"
"88482","0","12","1","","<cnn><visualization>","2021-01-26 06:41:16"
"88485","2","30","1","","<nlp><text-mining><information-extraction>","2021-01-26 09:27:42"
"88488","2","71","1","1","<machine-learning><neural-network><deep-learning><cnn><optimization>","2021-01-26 10:09:55"
"88489","0","22","0","","<python><cnn><image-preprocessing>","2021-01-26 10:30:50"
"88491","0","11","0","","<machine-learning><neural-network><deep-learning><regression><computer-vision>","2021-01-26 11:56:02"
"88493","0","8","0","","<time-series><arima>","2021-01-26 12:43:26"
"88494","3","156","2","1","<machine-learning><time-series><lstm>","2021-01-26 12:54:09"
"88497","2","37","1","1","<python><pandas><dataframe>","2021-01-26 13:11:59"
"88498","1","1635","1","","<keras><mse><sgd>","2021-01-26 13:22:17"
"88500","1","34","1","","<pytorch><transformer>","2021-01-26 13:38:31"
"88502","2","37","1","1","<neural-network><image-classification><attention-mechanism><deep-learning>","2021-01-26 14:58:47"
"88504","0","30","1","1","<neural-network><deep-learning><nlp><transformer><attention-mechanism>","2021-01-26 15:01:45"
"88505","0","22","0","","<machine-learning><dataset><data-mining><machine-learning-model><automl>","2021-01-26 15:04:43"
"88507","0","58","1","","<clustering><gpu><apache-hadoop><cloud-computing>","2021-01-26 15:31:54"
"88511","0","36","0","","<machine-learning><deep-learning><data-mining><statistics><bigdata>","2021-01-26 16:47:26"
"88514","0","52","1","","<machine-learning><regression><machine-learning-model>","2021-01-26 17:37:48"
"88516","0","24","0","","<deep-learning><keras><tensorflow><computer-vision><distributed>","2021-01-26 19:06:25"
"88517","0","12","0","","<nlp><bert>","2021-01-26 19:22:25"
"88518","0","29","0","","<keras>","2021-01-26 19:43:41"
"88519","2","34","1","3","<machine-learning><natural-gradient-boosting>","2021-01-26 20:09:50"
"88520","0","23","1","","<keras><nlp><text-classification>","2021-01-26 20:24:17"
"88523","0","19","0","","<python>","2021-01-26 22:22:29"
"88525","0","31","0","","<predictive-modeling><feature-scaling>","2021-01-26 22:49:22"
"88527","0","18","1","","<machine-learning><similarity>","2021-01-27 00:02:58"
"88529","0","18","0","","<time-series><xgboost>","2021-01-27 01:28:15"
"88530","0","24","1","","<random-forest><decision-trees><xgboost><linear-algebra><collinearity>","2021-01-27 02:46:43"
"88531","1","78","1","","<python><time-series><matplotlib>","2021-01-27 05:20:56"
"88532","1","38","1","","<machine-learning><deep-learning>","2021-01-27 06:15:32"
"88533","0","102","1","","<deep-learning><tensorflow><dataset><memory>","2021-01-27 06:25:32"
"88534","0","24","0","","<statistics><numpy><opencv><image>","2021-01-27 06:26:48"
"88540","1","10","0","","<clustering><scoring>","2021-01-27 10:04:18"
"88545","1","128","1","1","<machine-learning><python><scikit-learn><logistic-regression>","2021-01-27 11:25:29"
"88546","1","46","1","","<training><bigdata>","2021-01-27 12:01:11"
"88547","2","45","1","","<neural-network><keras><gan>","2021-01-27 12:59:29"
"88549","0","15","0","","<deep-learning><reinforcement-learning><loss-function><q-learning><gradient>","2021-01-27 13:23:54"
"88552","3","211","2","2","<deep-learning><normalization><transformer>","2021-01-27 14:24:12"
"88554","0","69","1","","<python><keras><preprocessing><normalization>","2021-01-27 14:45:35"
"88555","0","48","0","","<classification><time-series><feature-engineering><churn>","2021-01-27 14:47:27"
"88556","0","14","0","","<data-mining><association-rules>","2021-01-27 14:52:57"
"88562","0","84","1","1","<machine-learning><deep-learning><dataset>","2021-01-27 15:39:09"
"88565","1","22","1","","<machine-learning><classification><tensorflow><image-classification><audio-recognition>","2021-01-27 17:23:35"
"88566","0","28","1","1","<python><pandas><matplotlib>","2021-01-27 17:48:57"
"88567","-1","42","1","","<machine-learning><python><naive-bayes-classifier><text-classification>","2021-01-27 17:51:06"
"88570","1","69","1","","<python><numpy>","2021-01-27 19:10:16"
"88572","7","2365","6","3","<visualization>","2021-01-27 19:35:37"
"88576","0","42","1","","<dataset><training><model-selection>","2021-01-27 20:43:03"
"88582","2","82","2","","<python><numpy>","2021-01-27 23:24:00"
"88583","0","22","1","","<machine-learning><transfer-learning><finetuning>","2021-01-27 23:43:57"
"88584","2","99","1","","<cnn><attention-mechanism>","2021-01-27 23:45:28"
"88585","0","11","0","","<deep-learning><keras><autoencoder><embeddings>","2021-01-28 00:24:04"
"88588","0","83","1","","<time-series>","2021-01-28 02:17:05"
"88591","0","14","0","","<deep-learning><time-series><forecasting><online-learning>","2021-01-28 03:03:11"
"88594","0","61","3","","<machine-learning><neural-network><keras><tensorflow>","2021-01-28 05:12:48"
"88595","1","34","1","","<machine-learning><deep-learning>","2021-01-28 05:14:41"
"88598","1","17","0","","<scikit-learn><pandas><k-nn><mathematics><variance>","2021-01-28 06:28:52"
"88599","1","23","0","","<tensorflow><clustering><apache-spark>","2021-01-28 06:31:39"
"88600","0","37","1","","<logistic-regression>","2021-01-28 06:50:25"
"88602","1","69","3","","<tensorflow><cnn><generalization>","2021-01-28 09:47:12"
"88604","1","62","1","","<machine-learning><multilabel-classification>","2021-01-28 10:13:10"
"88607","0","105","0","","<deep-learning><nlp><bert>","2021-01-28 10:58:14"
"88608","1","28","1","","<python><pandas>","2021-01-28 11:50:17"
"88609","2","26","2","","<machine-learning><neural-network><deep-learning>","2021-01-28 12:09:00"
"88610","0","30","1","","<python><tools><scoring>","2021-01-28 12:27:11"
"88615","0","15","0","","<text-mining><orange><orange3>","2021-01-28 13:08:50"
"88618","-1","58","1","","<classification><cnn><computer-vision>","2021-01-28 13:39:28"
"88619","0","79","0","","<tensorflow>","2021-01-28 13:49:04"
"88624","0","37","1","","<deep-learning><regression><dataset><training><probability>","2021-01-28 14:57:02"
"88627","2","21","1","","<clustering>","2021-01-28 15:24:51"
"88632","1","11","0","1","<excel>","2021-01-28 18:25:02"
"88633","0","26","0","","<machine-learning><deep-learning><regression><data-augmentation>","2021-01-28 18:28:21"
"88634","1","24","2","","<sampling>","2021-01-28 18:33:43"
"88636","0","25","1","1","<python><data><c><c++>","2021-01-28 19:10:05"
"88641","0","42","0","","<keras><autoencoder>","2021-01-28 23:35:09"
"88644","0","49","1","","<machine-learning><keras><tensorflow><machine-learning-model>","2021-01-29 01:00:34"
"88646","1","15","0","","<machine-learning><classification><r><weighted-data>","2021-01-29 01:05:56"
"88648","0","6","0","","<neural-network>","2021-01-29 01:25:21"
"88651","0","16","1","","<svm>","2021-01-29 05:15:46"
"88652","0","78","0","","<pytorch><named-entity-recognition><score><confidence>","2021-01-29 06:39:03"
"88656","6","433","1","1","<gradient-descent><bayesian><mini-batch-gradient-descent><sgd>","2021-01-29 08:23:20"
"88660","0","61","2","","<python><scikit-learn><random-forest>","2021-01-29 09:43:15"
"88665","2","129","1","","<scikit-learn><encoding><features>","2021-01-29 11:54:16"
"88669","1","100","0","1","<time-series><statistics><statsmodels>","2021-01-29 13:46:44"
"88671","0","81","1","","<python><pandas><json>","2021-01-29 14:43:11"
"88672","0","21","0","","<algorithms>","2021-01-29 15:02:53"
"88673","0","65","0","","<deep-learning><cnn>","2021-01-29 15:02:54"
"88677","0","34","0","","<machine-learning><regression><multilabel-classification>","2021-01-29 17:25:27"
"88678","0","26","0","","<r><dataset><visualization><python-3.x><descriptive-statistics>","2021-01-29 18:13:04"
"88680","0","480","1","","<keras><scikit-learn><nlp>","2021-01-29 20:07:52"
"88681","0","68","0","","<python><statistics><logistic-regression><statsmodels><glm>","2021-01-29 20:07:56"
"88687","0","107","1","","<r><missing-data>","2021-01-29 22:14:27"
"88688","2","38","2","","<machine-learning><metric><performance><data-product>","2021-01-29 22:24:56"
"88696","1","8","0","","<machine-learning-model><simulation>","2021-01-30 07:54:25"
"88697","1","196","1","","<orange><orange3>","2021-01-30 10:05:45"
"88700","0","21","0","","<data-cleaning><missing-data>","2021-01-30 11:35:08"
"88701","1","74","1","","<machine-learning><deep-learning><classification><statistics><pytorch>","2021-01-30 12:55:16"
"88702","1","62","1","","<r><categorical-data>","2021-01-30 12:56:38"
"88704","1","236","1","","<machine-learning><classification><scikit-learn><random-forest><class-imbalance>","2021-01-30 14:06:44"
"88705","3","180","2","1","<python><nltk>","2021-01-30 14:24:36"
"88707","0","33","0","","<web-scraping>","2021-01-30 16:15:50"
"88709","1","42","1","","<machine-learning><python>","2021-01-30 17:15:31"
"88712","0","59","2","","<pandas><python-3.x>","2021-01-30 18:20:38"
"88713","0","17","0","","<linear-regression><regularization>","2021-01-30 19:10:49"
"88717","0","32","1","","<classification><feature-engineering><missing-data>","2021-01-30 19:47:54"
"88718","1","36","0","","<cnn>","2021-01-30 19:51:53"
"88720","0","12","0","","<optimization><gan>","2021-01-30 20:28:56"
"88722","-1","27","1","","<scikit-learn><tensorflow><nlp><random-forest><confusion-matrix>","2021-01-30 21:57:26"
"88725","0","27","0","","<time-series><regression><xgboost><boosting>","2021-01-31 00:08:36"
"88734","0","12","1","","<machine-learning><predictive-modeling><statistics>","2021-01-31 01:26:00"
"88736","0","23","0","","<machine-learning><scikit-learn><statistics><dimensionality-reduction><linear-algebra>","2021-01-31 02:13:48"
"88737","0","45","1","","<keras><image-preprocessing>","2021-01-31 03:06:25"
"88740","0","28","0","","<word2vec><semantic-similarity>","2021-01-31 05:43:41"
"88742","0","11","0","","<unsupervised-learning>","2021-01-31 08:19:33"
"88744","1","22","0","","<dimensionality-reduction>","2021-01-31 09:09:58"
"88745","-2","17","1","","<data><bigdata>","2021-01-31 09:33:10"
"88747","1","65","2","","<time-series><pandas><feature-engineering><features><data-leakage>","2021-01-31 09:55:08"
"88751","0","23","1","","<distribution><learning><ensemble>","2021-01-31 11:45:19"
"88754","0","20","1","","<reinforcement-learning>","2021-01-31 12:17:47"
"88755","1","13","0","","<statistics><optimization><object-detection>","2021-01-31 12:20:46"
"88756","2","19","1","","<random-forest><orange><orange3>","2021-01-31 12:40:38"
"88757","1","1330","1","","<machine-learning><r><glm>","2021-01-31 13:37:05"
"88763","0","48","0","","<apache-hadoop>","2021-01-31 16:47:22"
"88765","0","36","0","","<python><decision-trees><hyperparameter-tuning>","2021-01-31 16:55:50"
"88766","0","19","2","","<r>","2021-01-31 18:50:13"
"88769","0","32","0","","<r><clustering><unsupervised-learning>","2021-01-31 20:38:41"
"88770","0","12","0","","<machine-learning>","2021-01-31 21:22:06"
"88779","0","30","1","","<machine-learning><nlp><data-cleaning><text>","2021-02-01 04:29:59"
"88780","0","17","0","","<cnn><loss-function><gradient-descent><theory>","2021-02-01 06:35:38"
"88781","0","18","0","","<machine-learning><deep-learning><rnn>","2021-02-01 06:56:49"
"88783","1","29","1","","<deep-learning><nlp><sentiment-analysis>","2021-02-01 08:15:19"
"88784","0","27","0","","<speech-to-text><corpus>","2021-02-01 08:27:22"
"88786","0","40","0","","<python><scikit-learn><decision-trees><normalization>","2021-02-01 11:11:59"
"88787","0","63","0","","<deep-learning><lstm><multiclass-classification><overfitting><text-classification>","2021-02-01 13:24:34"
"88788","0","91","0","","<python><training><spacy>","2021-02-01 14:26:15"
"88789","0","25","0","","<keras><tensorflow><regression><loss-function><vgg16>","2021-02-01 14:38:53"
"88790","0","754","1","","<machine-learning><pandas><data-cleaning><text-classification><error-handling>","2021-02-01 15:04:21"
"88792","0","18","0","","<deep-learning><neural-network><lstm><pytorch>","2021-02-01 15:30:12"
"88793","0","20","0","","<bigdata><map-reduce>","2021-02-01 15:55:30"
"88795","0","11","0","","<logistic-regression>","2021-02-01 17:34:24"
"88796","0","37","0","","<keras><lstm>","2021-02-01 17:41:00"
"88798","0","15","0","","<visualization><ggplot2>","2021-02-01 18:03:59"
"88801","0","75","0","","<pytorch>","2021-02-01 19:45:18"
"88803","2","70","1","","<neural-network><random-forest><model-selection>","2021-02-01 19:48:17"
"88804","0","13","0","","<deep-learning><cnn><unsupervised-learning><gan><generative-models>","2021-02-01 20:25:25"
"88805","4","201","1","2","<python><nlp><text-classification>","2021-02-01 20:38:58"
"88808","1","91","1","","<python><scikit-learn><cosine-distance>","2021-02-01 22:37:51"
"88809","0","29","0","","<deep-learning><keras><tensorflow><distributed>","2021-02-01 22:37:54"
"88811","0","51","0","","<tensorflow><multiclass-classification><multilabel-classification><bert><text-classification>","2021-02-01 23:03:10"
"88813","0","9","0","","<machine-learning><regression><predictive-modeling>","2021-02-02 00:31:33"
"88814","0","15","1","","<nlp><sentiment-analysis><kaggle>","2021-02-02 01:13:24"
"88816","1","57","1","1","<training><overfitting><validation>","2021-02-02 03:56:22"
"88819","0","24","0","","<machine-learning><deep-learning><rnn>","2021-02-02 10:04:44"
"88821","0","46","1","","<python>","2021-02-02 11:09:22"
"88822","1","144","0","1","<python><keras><time-series><lstm><rnn>","2021-02-02 11:55:14"
"88823","-2","69","1","","<keras><nlp><transformer>","2021-02-02 12:45:33"
"88824","1","548","1","","<nlp><transformer><tokenization>","2021-02-02 13:28:18"
"88829","2","38","1","","<python><keras><time-series><multiclass-classification><multilabel-classification>","2021-02-02 15:12:59"
"88830","6","91","1","1","<machine-learning>","2021-02-02 15:05:39"
"88834","2","38","1","","<nlp><word2vec><doc2vec>","2021-02-02 15:47:52"
"88835","0","32","0","","<cross-validation><k-nn><hyperparameter>","2021-02-02 16:00:23"
"88837","0","15","1","","<tensorflow><dataset><image-classification>","2021-02-02 16:51:10"
"88842","0","27","0","","<machine-learning><scikit-learn><pytorch><algorithms>","2021-02-02 19:13:52"
"88843","1","12","0","","<machine-learning><python><data-mining><data>","2021-02-02 19:52:21"
"88845","0","37","0","0","<python><similarity><image>","2021-02-02 22:05:16"
"88846","0","16","0","","<prediction><imbalance>","2021-02-02 22:21:57"
"88847","1","42","1","","<machine-learning><deep-learning><aws-lambda>","2021-02-02 22:26:42"
"88849","0","136","2","","<python><numpy><databases>","2021-02-02 23:54:43"
"88851","0","119","1","","<python><visualization><matplotlib>","2021-02-03 00:46:29"
"88858","1","39","1","","<masking><transformation>","2021-02-03 06:05:44"
"88864","0","512","1","","<neural-network><pytorch><dropout><validation>","2021-02-03 10:29:09"
"88865","1","42","1","1","<machine-learning><deep-learning><neural-network><data-mining><logistic-regression>","2021-02-03 10:53:22"
"88867","0","34","1","","<pandas><dataframe><jupyter><ipython><groupby>","2021-02-03 11:28:47"
"88869","0","33","1","","<optimization>","2021-02-03 12:51:13"
"88877","0","19","0","","<neural-network><gradient-descent>","2021-02-03 15:41:41"
"88878","1","53","0","","<deep-learning><classification><scikit-learn><loss-function><evaluation>","2021-02-03 16:02:03"
"88879","0","247","1","","<scikit-learn><feature-selection><pipelines><lasso>","2021-02-03 16:04:44"
"88881","1","21","0","","<keras><tensorflow><gan>","2021-02-03 16:58:39"
"88883","0","17","0","","<tensorflow><feature-engineering><autoencoder><vae>","2021-02-03 17:44:32"
"88885","0","13","0","","<machine-learning><predictive-modeling><machine-learning-model><apache-spark><pattern-recognition>","2021-02-03 20:07:04"
"88886","0","25","0","","<deep-learning><mlp>","2021-02-03 21:04:11"
"88888","0","12","0","","<statistics><probability><distance>","2021-02-03 21:52:51"
"88889","0","65","0","","<machine-learning><classification><svm><confusion-matrix><rstudio>","2021-02-03 23:08:36"
"88891","0","25","0","","<machine-learning><nlp><clustering><word2vec>","2021-02-04 01:05:13"
"88892","3","114","2","2","<machine-learning><data><concept-drift>","2021-02-04 01:09:31"
"88893","0","612","1","","<python><opencv>","2021-02-04 01:31:16"
"88894","0","21","1","","<machine-learning><forecasting><churn>","2021-02-04 03:26:53"
"88899","0","27","0","","<machine-learning><python>","2021-02-04 07:25:21"
"88904","0","9","0","","<named-entity-recognition>","2021-02-04 08:26:34"
"88905","0","11","0","","<correlation><matrix-factorisation>","2021-02-04 08:34:52"
"88906","0","19","0","","<classification><tensorflow><cnn><overfitting><feature-scaling>","2021-02-04 08:55:54"
"88910","0","39","0","","<deep-learning><neural-network><cnn><training><loss>","2021-02-04 09:18:07"
"88911","0","39","1","","<nlp><topic-model><lda>","2021-02-04 09:49:48"
"88912","0","39","0","","<keras><opencv>","2021-02-04 09:53:18"
"88914","1","19","1","","<classification><scikit-learn>","2021-02-04 11:24:54"
"88917","0","250","0","1","<python><tensorflow><computer-vision><object-detection><annotation>","2021-02-04 12:38:15"
"88919","3","192","2","","<scikit-learn><data-cleaning><svm><preprocessing>","2021-02-04 14:10:16"
"88920","0","23","1","","<nlp><information-retrieval><indexing>","2021-02-04 14:30:07"
"88922","0","128","1","","<python><pandas><numpy>","2021-02-04 15:23:49"
"88923","1","479","2","2","<machine-learning><deep-learning><time-series><lstm><pytorch>","2021-02-04 15:25:12"
"88924","2","41","1","1","<machine-learning><data-mining><statistics><cross-validation><data-leakage>","2021-02-04 15:27:55"
"88925","0","32","1","","<gpu><yolo><scalability><hardware>","2021-02-04 15:29:37"
"88928","1","17","0","","<convolution><dimensionality-reduction><pooling><semantic-segmentation>","2021-02-04 16:07:26"
"88929","1","40","1","","<machine-learning><regression><lasso>","2021-02-04 16:20:08"
"88930","0","85","0","","<keras><numpy><object-detection><image-preprocessing>","2021-02-04 16:40:01"
"88931","0","176","1","","<python><pandas>","2021-02-04 16:55:38"
"88935","0","6","0","","<computer-vision><data-augmentation>","2021-02-04 17:32:55"
"88936","1","46","3","","<deep-learning><neural-network><perceptron>","2021-02-04 17:42:29"
"88938","0","37","0","","<keras><lstm><rnn>","2021-02-04 18:04:36"
